keyword,2015,2016,2017,2018,2019,category
bot,1,4,3,2,1,bot
dexter,0,0,0,1,0,bot
rivescript,0,0,0,1,0,bot
datakit,0,0,0,1,0,datamgmt
datasette,0,0,0,0,1,datamgmt
excel,24,25,16,27,30,datamgmt
fusion,3,2,2,1,0,datamgmt
grel,0,0,0,0,1,datamgmt
openrefine,3,3,1,1,2,datamgmt
pivot,2,2,2,4,7,datamgmt
visidata,0,0,0,1,1,datamgmt
chartbuilder,0,0,1,0,0,dataviz
datawrapper,0,0,1,0,1,dataviz
flourish,0,0,1,0,1,dataviz
plotly,1,0,0,0,0,dataviz
tableau,8,6,6,4,6,dataviz
cometdocs,0,0,0,0,1,docs
documentcloud,2,2,0,2,1,docs
csvkit,1,4,3,2,1,docs
arcgis,2,2,1,1,2,geo
carto,1,0,1,1,0,geo
cartodb,2,1,1,0,0,geo
geomancer,1,0,0,0,0,geo
mapbox,2,0,1,2,1,geo
qgis,5,4,3,3,4,geo
quantumgis,1,1,1,1,0,geo
tilemill,1,0,0,0,0,geo
cypher,0,1,1,1,1,graph
gephi,1,1,0,0,0,graph
neo4j,0,1,1,1,1,graph
angular,0,0,0,1,0,javascript
d3,3,3,6,6,7,javascript
grunt,1,1,2,1,0,javascript
gspan,0,0,0,0,1,javascript
javascript,14,9,9,10,16,javascript
jquery,2,1,0,1,0,javascript
leaflet,2,1,1,1,1,javascript
node,2,5,2,2,1,javascript
npm,1,3,1,1,0,javascript
odyssey,1,0,0,0,0,javascript
react,0,0,0,1,2,javascript
svelte,0,0,0,1,0,javascript
topojson,0,0,0,1,1,javascript
vue,0,0,0,1,0,javascript
webgl,0,0,1,0,0,javascript
arduino,1,1,0,0,0,other
blockchain,0,0,0,0,1,other
git,6,4,4,1,0,other
github,8,6,5,3,5,other
regex,2,2,0,0,1,other
twine,1,0,0,0,0,other
virtualbox,1,1,1,1,0,other
agate,0,3,2,0,0,python
altair,0,0,0,0,1,python
django,4,4,3,1,1,python
fabric,1,1,1,1,0,python
flask,0,1,0,0,0,python
geopandas,0,0,0,0,1,python
ipython,2,3,0,0,0,python
jupyter,0,4,4,3,3,python
matplotlib,0,2,2,2,3,python
numpy,0,2,1,0,0,python
panda,5,4,6,6,7,python
pdb,0,1,0,0,0,python
pdfplumber,0,0,0,0,1,python
pip,0,0,1,0,0,python
pyenv,0,0,0,1,0,python
python,21,24,17,16,20,python
scikit,1,0,0,0,0,python
seaborn,0,0,2,0,0,python
socrata2sql,0,0,0,0,1,python
unittest,0,1,0,0,0,python
virtualenv,1,1,1,1,0,python
virtualenvwrapper,1,1,1,1,0,python
dplyr,1,0,0,3,2,r
dygraphs,1,0,0,0,0,r
ggplot2,0,0,0,3,4,r
htmlwidgets,0,0,1,0,0,r
purr,0,0,0,1,1,r
r,12,10,13,16,22,r
readr,0,0,0,1,1,r
rmarkdown,0,0,0,1,1,r
rstudio,2,0,1,2,4,r
rtweet,0,0,0,1,0,r
tibble,0,0,0,1,1,r
tidyr,0,0,0,1,1,r
tidytext,0,0,0,0,1,r
tidyverse,0,0,1,5,6,r
rail,3,2,1,1,0,ruby
rake,1,1,0,0,0,ruby
rbenv,1,1,1,1,0,ruby
ruby,6,8,2,2,1,ruby
mysql,5,4,4,5,4,sql
pgadmin,1,0,0,0,1,sql
postgis,2,1,1,2,2,sql
postgres,1,0,0,0,0,sql
postgresql,2,1,3,2,1,sql
psql,0,0,0,0,1,sql
spatialite,1,0,0,0,0,sql
sql,15,16,15,13,23,sql
sqlite,3,8,3,6,8,sql
bayesdb,0,0,0,1,0,stats
pspp,0,6,2,4,3,stats
spss,4,6,2,4,3,stats
ocr,0,1,5,1,1,text
tabula,2,1,1,1,1,text
tesseract,0,0,2,0,0,text
ai2html,0,0,1,0,1,web
ajax,1,1,0,0,0,web
asp,1,1,0,0,0,web
bootstrap,1,0,0,0,0,web
bower,1,1,3,1,0,web
cs,8,4,2,1,3,web
html,10,6,4,6,7,web
jekyll,1,0,0,0,0,web
markdown,2,1,1,0,0,web
php,0,0,1,1,0,web
